posting_id,date,country,city,industry,role_category,job_title,experience_level,work_mode,contract_type,language_requirement,salary_from,salary_to,skills_required,days_open
JP000070,2022-01-03,Austria,Vienna,Finance & Banking,Data Analyst,Junior Data Analyst,Junior (0-2yr),Remote,Freelance,German Required,40081,45777,SAP|SQL|Excel|Jira,64
JP000071,2022-01-03,Switzerland,Lausanne,Logistics,Data Engineer,Pipeline Engineer,Mid (2-5yr),Hybrid,Freelance,German Required,62190,63019,Python|Kafka|dbt,22
JP000072,2022-01-03,Austria,Salzburg,Technology,Data Scientist,ML Engineer,Mid (2-5yr),Hybrid,Permanent,German Required,52135,59801,Scikit-Learn|Azure ML|TensorFlow|Python|R,66
JP000073,2022-01-03,Germany,Düsseldorf,Healthcare,Data Analyst,Data Analyst,Junior (0-2yr),Hybrid,Permanent,German Required,40498,42985,SAP|Jira|Tableau|Python|Excel|SQL,20
JP000074,2022-01-03,Austria,Innsbruck,Media,Data Engineer,Data Engineer,Junior (0-2yr),Hybrid,Permanent,German Required,36016,42891,SQL|Databricks|Python|dbt|Docker,28
JP000075,2022-01-04,Austria,Salzburg,Consulting,Data Scientist,AI Analyst,Senior (5+yr),Hybrid,Permanent,German Required,88144,103511,R|Machine Learning|SQL|Statistics|Scikit-Learn|Azure ML,32
JP000076,2022-01-04,Germany,Düsseldorf,Technology,BI Developer,Reporting Developer,Junior (0-2yr),Hybrid,Permanent,English OK,38370,45971,Looker|Power BI|Excel|SQL|DAX,84
JP000077,2022-01-04,Switzerland,Basel,Media,Data Engineer,Data Engineer,Mid (2-5yr),Remote,Fixed-term,German Required,60848,73220,Python|Docker|Azure,71
JP000078,2022-01-04,Switzerland,Lausanne,Technology,Data Manager,BI Manager,Mid (2-5yr),Hybrid,Permanent,German Required,55653,69113,Leadership|SQL|Agile|Excel|Stakeholder Management|Power BI,87
JP000079,2022-01-04,Austria,Vienna,E-Commerce,Data Engineer,Pipeline Engineer,Senior (5+yr),Remote,Permanent,German Required,77008,119688,Databricks|Airflow|Azure|Kafka|Spark|SQL,67
JP000080,2022-01-04,Germany,Leipzig,Energy,Data Engineer,Big Data Engineer,Mid (2-5yr),Remote,Freelance,English OK,53786,57556,Databricks|Spark|Docker|SQL|Airflow,69
JP000081,2022-01-04,Switzerland,Basel,Technology,Data Scientist,AI Analyst,Mid (2-5yr),Remote,Fixed-term,German Required,52661,64270,Statistics|SQL|R|Python|Machine Learning,23
JP000082,2022-01-04,Germany,Nuremberg,Technology,Data Analyst,Reporting Analyst,Senior (5+yr),Hybrid,Permanent,English OK,89210,108341,Power BI|SQL|Jira|Confluence,31
JP000083,2022-01-04,Germany,Berlin,Finance & Banking,Data Manager,Data Manager,Mid (2-5yr),Remote,Freelance,English OK,53278,72671,Excel|Strategy|Stakeholder Management|Power BI|SQL,18
JP000084,2022-01-04,Germany,Frankfurt,E-Commerce,Data Scientist,ML Engineer,Senior (5+yr),Hybrid,Fixed-term,English OK,91383,107707,Scikit-Learn|SQL|Statistics|Azure ML|TensorFlow|R,24
JP000085,2022-01-04,Switzerland,Basel,Consulting,BI Developer,BI Developer,Junior (0-2yr),Hybrid,Permanent,English OK,34530,46411,Tableau|Looker|SQL,10
JP000086,2022-01-04,Germany,Berlin,Automotive,Data Engineer,Big Data Engineer,Junior (0-2yr),Hybrid,Fixed-term,German Required,33503,37029,Kafka|Airflow|Docker|SQL,49
JP000087,2022-01-04,Germany,Frankfurt,Media,Data Scientist,ML Engineer,Junior (0-2yr),On-site,Permanent,German Required,36469,44840,TensorFlow|SQL|Scikit-Learn,50
JP000088,2022-01-04,Germany,Munich,Automotive,Data Scientist,Data Scientist,Junior (0-2yr),Remote,Permanent,German Required,39617,48403,Machine Learning|Python|Azure ML|Scikit-Learn,86
JP000089,2022-01-04,Austria,Salzburg,E-Commerce,BI Developer,BI Developer,Junior (0-2yr),Hybrid,Freelance,German Required,33846,40103,SAP BI|DAX|Power BI,68
JP000090,2022-01-04,Austria,Innsbruck,Automotive,Data Scientist,Quantitative Analyst,Mid (2-5yr),On-site,Permanent,German Required,51952,57414,TensorFlow|Statistics|SQL|Azure ML|Scikit-Learn|Machine Learning,57
JP000091,2022-01-04,Germany,Dresden,Healthcare,Data Manager,Data Manager,Senior (5+yr),Remote,Permanent,English OK,80973,98924,Power BI|SQL|Excel,22
JP000092,2022-01-04,Germany,Stuttgart,Technology,Data Manager,Analytics Manager,Mid (2-5yr),Hybrid,Permanent,German Required,62289,72674,SQL|Leadership|Excel|Agile|Strategy,64
JP000093,2022-01-04,Germany,Dresden,Finance & Banking,BI Developer,BI Developer,Mid (2-5yr),Hybrid,Permanent,German Required,56233,58791,DAX|Power BI|Excel,35
JP000094,2022-01-04,Germany,Dresden,Technology,BI Developer,BI Consultant,Senior (5+yr),Hybrid,Permanent,English OK,76231,119431,SSRS|SQL|Tableau|Power BI,52
JP000095,2022-01-04,Germany,Berlin,Media,Data Manager,Analytics Manager,Junior (0-2yr),Hybrid,Freelance,German Required,32958,37029,Excel|SQL|Agile|Leadership|Strategy|Power BI,87
JP000096,2022-01-04,Germany,Berlin,Automotive,Data Scientist,Data Scientist,Junior (0-2yr),Hybrid,Freelance,German Required,35044,36569,SQL|R|Azure ML|Python,18
JP000097,2022-01-04,Germany,Munich,E-Commerce,BI Developer,Power BI Developer,Mid (2-5yr),Hybrid,Permanent,German Required,58708,66476,SAP BI|Looker|Excel|SSRS,49
JP000098,2022-01-04,Germany,Leipzig,Healthcare,Data Scientist,Research Analyst,Junior (0-2yr),Remote,Fixed-term,German Required,37687,41679,Python|Statistics|TensorFlow|R|Azure ML|Scikit-Learn,81
JP000099,2022-01-04,Germany,Berlin,Manufacturing,Data Scientist,Quantitative Analyst,Senior (5+yr),Hybrid,Freelance,German Required,94228,100516,Python|Azure ML|Machine Learning|SQL,25
JP000100,2022-01-04,Germany,Nuremberg,Consulting,Data Analyst,BI Analyst,Junior (0-2yr),Hybrid,Permanent,German Required,32114,49533,Jira|Power BI|Excel|Confluence|Tableau,32
JP000101,2022-01-04,Austria,Linz,Manufacturing,Data Engineer,Big Data Engineer,Mid (2-5yr),Hybrid,Permanent,German Required,60499,62449,Spark|Python|Airflow|Azure,47
JP000102,2022-01-04,Austria,Graz,Manufacturing,Data Manager,Analytics Manager,Mid (2-5yr),Hybrid,Fixed-term,German Required,57500,64097,Strategy|Power BI|Stakeholder Management|SQL|Agile,80
JP000103,2022-01-04,Austria,Vienna,E-Commerce,Data Analyst,Junior Data Analyst,Mid (2-5yr),Hybrid,Permanent,German Required,54372,65327,Confluence|SQL|Excel|Power BI|Tableau|Jira,38
JP000104,2022-01-04,Germany,Leipzig,E-Commerce,Data Manager,Head of Data,Mid (2-5yr),Hybrid,Fixed-term,German Required,53567,54065,Stakeholder Management|SQL|Agile|Strategy|Excel|Leadership,56
JP000105,2022-01-04,Germany,Dresden,Manufacturing,Data Scientist,Data Scientist,Senior (5+yr),Remote,Permanent,English OK,89656,117575,Scikit-Learn|TensorFlow|Machine Learning|R|SQL,53
JP000106,2022-01-04,Germany,Düsseldorf,Logistics,Data Manager,Chief Data Officer,Junior (0-2yr),Remote,Permanent,German Required,40325,45024,Leadership|Stakeholder Management|Power BI|Excel|SQL,56
JP000107,2022-01-04,Germany,Düsseldorf,Finance & Banking,Data Engineer,Data Engineer,Senior (5+yr),Remote,Permanent,German Required,79476,108392,dbt|Spark|Azure|Docker|Python,71
JP000108,2022-01-04,Switzerland,Lausanne,Energy,Data Engineer,Data Platform Engineer,Senior (5+yr),On-site,Fixed-term,German Required,96689,109314,SQL|Docker|dbt|Spark|Azure|Python,75
JP000109,2022-01-04,Germany,Frankfurt,Logistics,Data Manager,Data Manager,Junior (0-2yr),Hybrid,Permanent,English OK,37301,40581,Strategy|Excel|Power BI|Agile|SQL|Stakeholder Management,79
JP000110,2022-01-04,Germany,Frankfurt,Technology,BI Developer,Power BI Developer,Senior (5+yr),Hybrid,Permanent,English OK,85874,117556,Tableau|Power BI|DAX,86
JP000111,2022-01-04,Germany,Frankfurt,Manufacturing,BI Developer,Tableau Developer,Senior (5+yr),Hybrid,Permanent,German Required,75697,119375,SAP BI|DAX|SSRS,27
JP000112,2022-01-04,Austria,Salzburg,Energy,Data Analyst,Data Analyst,Junior (0-2yr),Remote,Permanent,German Required,39934,44808,Tableau|Jira|Confluence|Python|SQL,29
JP000113,2022-01-04,Germany,Dresden,Automotive,Data Analyst,Reporting Analyst,Junior (0-2yr),Remote,Permanent,German Required,36346,45700,Python|Power BI|SAP,78
JP000114,2022-01-04,Germany,Berlin,E-Commerce,Data Engineer,Data Platform Engineer,Junior (0-2yr),Hybrid,Permanent,German Required,38768,44751,Azure|SQL|Airflow|Python|Databricks|Spark,49
JP000115,2022-01-04,Germany,Nuremberg,Technology,BI Developer,Reporting Developer,Senior (5+yr),On-site,Permanent,German Required,92291,107531,Excel|SQL|Looker,62
JP000116,2022-01-04,Austria,Vienna,Logistics,BI Developer,BI Developer,Mid (2-5yr),Remote,Fixed-term,German Required,55652,64675,Tableau|Excel|Power BI,52
JP000117,2022-01-04,Germany,Leipzig,E-Commerce,Data Engineer,Data Engineer,Mid (2-5yr),On-site,Freelance,German Required,58643,61634,SQL|Docker|Azure,52
JP000118,2022-01-04,Germany,Frankfurt,Energy,Data Scientist,Quantitative Analyst,Mid (2-5yr),Hybrid,Fixed-term,German Required,55810,65264,R|SQL|Machine Learning|TensorFlow,32
JP000119,2022-01-04,Germany,Leipzig,Logistics,BI Developer,Power BI Developer,Junior (0-2yr),Hybrid,Permanent,German Required,37316,39548,SAP BI|Tableau|Looker|SQL|Power BI|DAX,48
JP000120,2022-01-04,Germany,Berlin,E-Commerce,Data Analyst,BI Analyst,Mid (2-5yr),Hybrid,Permanent,German Required,56959,63382,SQL|Python|Power BI|Confluence|Tableau,26
JP000121,2022-01-04,Germany,Cologne,Consulting,Data Engineer,ETL Developer,Mid (2-5yr),Remote,Permanent,English OK,60452,66266,Docker|Kafka|Airflow|dbt,8
JP000122,2022-01-04,Germany,Hamburg,Technology,Data Analyst,Data Analyst,Mid (2-5yr),On-site,Permanent,English OK,58288,66250,Excel|SAP|Jira|SQL|Python,36
JP000123,2022-01-04,Germany,Stuttgart,Manufacturing,BI Developer,BI Developer,Senior (5+yr),On-site,Fixed-term,German Required,95047,107024,Tableau|SAP BI|SQL|Power BI|Looker|DAX,42
JP000124,2022-01-04,Austria,Graz,Logistics,Data Manager,Chief Data Officer,Junior (0-2yr),Hybrid,Permanent,English OK,37908,38205,Excel|Agile|Leadership|Power BI|Stakeholder Management,32
JP000125,2022-01-04,Germany,Dresden,E-Commerce,BI Developer,Tableau Developer,Junior (0-2yr),On-site,Permanent,English OK,35843,49322,SSRS|SAP BI|Power BI,67
JP000126,2022-01-04,Germany,Leipzig,E-Commerce,Data Analyst,Data Analyst,Senior (5+yr),Hybrid,Permanent,German Required,89505,117520,SAP|Excel|Jira|Tableau|Confluence|Python,57
JP000127,2022-01-04,Germany,Hamburg,Logistics,BI Developer,Reporting Developer,Senior (5+yr),Hybrid,Freelance,German Required,88092,92033,Looker|Tableau|DAX|SSRS|SAP BI,40
JP000128,2022-01-04,Switzerland,Bern,Consulting,Data Scientist,AI Analyst,Junior (0-2yr),Hybrid,Freelance,German Required,34144,34535,Python|SQL|Statistics|Machine Learning,66
JP000129,2022-01-04,Switzerland,Bern,E-Commerce,Data Analyst,Business Analyst,Junior (0-2yr),Hybrid,Permanent,German Required,37820,48883,Confluence|Power BI|Excel|Python|Jira,79
JP000130,2022-01-04,Germany,Munich,Finance & Banking,Data Engineer,ETL Developer,Junior (0-2yr),Remote,Permanent,German Required,34364,45503,Databricks|dbt|Airflow,66
JP000131,2022-01-04,Austria,Graz,Automotive,Data Engineer,ETL Developer,Senior (5+yr),Remote,Freelance,English OK,76173,92686,Databricks|dbt|Azure|Spark|SQL|Airflow,9
JP000132,2022-01-04,Switzerland,Lausanne,Finance & Banking,BI Developer,BI Developer,Junior (0-2yr),Remote,Fixed-term,German Required,39508,46774,Looker|SQL|Power BI,52
JP000133,2022-01-05,Germany,Cologne,Logistics,Data Scientist,AI Analyst,Mid (2-5yr),Hybrid,Fixed-term,German Required,53562,71449,R|SQL|TensorFlow,69
JP000134,2022-01-05,Germany,Nuremberg,E-Commerce,Data Manager,Data Manager,Senior (5+yr),On-site,Fixed-term,English OK,96098,110825,SQL|Strategy|Stakeholder Management|Leadership|Power BI,65
JP000135,2022-01-05,Germany,Berlin,Finance & Banking,Data Manager,Analytics Manager,Mid (2-5yr),Hybrid,Permanent,German Required,53591,72707,Agile|Leadership|Power BI|SQL|Excel,74
JP000136,2022-01-05,Austria,Graz,Consulting,Data Engineer,Data Platform Engineer,Senior (5+yr),Hybrid,Fixed-term,German Required,75215,94940,Docker|Spark|Databricks|SQL,26
JP000137,2022-01-05,Switzerland,Geneva,E-Commerce,BI Developer,BI Consultant,Senior (5+yr),Remote,Fixed-term,German Required,75730,76517,SSRS|SQL|Looker|Tableau|DAX|Power BI,75
JP000138,2022-01-05,Switzerland,Zurich,Manufacturing,Data Manager,Head of Data,Mid (2-5yr),Hybrid,Permanent,German Required,61011,67902,Strategy|Agile|SQL|Leadership|Stakeholder Management|Excel,81
JP000139,2022-01-05,Germany,Cologne,Media,Data Analyst,Junior Data Analyst,Senior (5+yr),Hybrid,Permanent,German Required,75813,95710,SQL|Jira|Confluence,59
JP000140,2022-01-05,Austria,Vienna,E-Commerce,Data Analyst,BI Analyst,Junior (0-2yr),On-site,Permanent,German Required,40001,43181,Jira|SQL|SAP|Tableau|Excel,11
JP000141,2022-01-05,Austria,Innsbruck,Media,Data Manager,BI Manager,Senior (5+yr),Hybrid,Freelance,German Required,84249,91058,Power BI|Leadership|Excel,8
JP000142,2022-01-05,Switzerland,Zurich,Technology,Data Analyst,Reporting Analyst,Junior (0-2yr),Hybrid,Freelance,German Required,38653,43108,SAP|Tableau|Jira,64
JP000143,2022-01-05,Austria,Innsbruck,Automotive,Data Engineer,Data Engineer,Junior (0-2yr),Hybrid,Freelance,German Required,34159,48527,Airflow|Kafka|Spark|Databricks,18
JP000144,2022-01-05,Germany,Dresden,Finance & Banking,Data Analyst,Reporting Analyst,Senior (5+yr),Hybrid,Permanent,German Required,85739,92150,Jira|Tableau|Power BI|SAP,60
JP000145,2022-01-05,Germany,Munich,Manufacturing,Data Scientist,Quantitative Analyst,Mid (2-5yr),Hybrid,Permanent,German Required,51285,51989,Machine Learning|R|SQL|Scikit-Learn|TensorFlow|Python,53
JP000146,2022-01-05,Austria,Innsbruck,Finance & Banking,Data Scientist,AI Analyst,Junior (0-2yr),Hybrid,Freelance,German Required,33659,40233,Statistics|SQL|Machine Learning|Azure ML|Python,89
